model_id,family,description,term,estimate,std_error_hc3,statistic,p_value,conf_low_95,conf_high_95
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,factor(release_period)2018,-1.175,0.146,-8.055,<0.001,-1.461,-0.889
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,factor(release_period)2019,-1.035,0.153,-6.769,<0.001,-1.334,-0.735
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,factor(release_period)2020,-0.997,0.150,-6.625,<0.001,-1.291,-0.702
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,factor(release_period)2021,-1.117,0.154,-7.259,<0.001,-1.418,-0.815
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,factor(release_period)2022,-1.014,0.148,-6.834,<0.001,-1.305,-0.723
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,factor(release_period)2023,-1.042,0.149,-7.015,<0.001,-1.333,-0.751
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,factor(release_period)2024,-3.938,0.136,-28.858,<0.001,-4.205,-3.670
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,factor(release_period)2025,-3.322,0.141,-23.606,<0.001,-3.598,-3.046
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,factor(release_period)2026,-3.141,0.360,-8.712,<0.001,-3.847,-2.434
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,(Intercept),74.231,0.132,563.529,<0.001,73.973,74.490
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,tag_female_protagonist,0.184,0.073,2.537,0.011,0.042,0.326
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,is_free,-0.025,0.072,-0.353,0.724,-0.166,0.116
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,is_early_access,0.247,0.089,2.779,0.005,0.073,0.421
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,genre_Action,0.190,0.056,3.363,<0.001,0.079,0.300
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,genre_Adventure,0.133,0.057,2.318,0.020,0.020,0.245
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,genre_Simulation,-0.107,0.065,-1.635,0.102,-0.235,0.021
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,genre_Sports,-0.047,0.145,-0.321,0.748,-0.332,0.238
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,genre_Racing,-0.033,0.158,-0.211,0.833,-0.342,0.276
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,genre_RPG,0.354,0.061,5.785,<0.001,0.234,0.473
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,genre_Strategy,0.251,0.065,3.850,<0.001,0.123,0.379
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,genre_Other,0.154,0.111,1.378,0.168,-0.065,0.372
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,factor(release_period)2009,0.088,0.206,0.429,0.668,-0.316,0.493
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,factor(release_period)2010,-0.001,0.185,-0.004,0.997,-0.363,0.362
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,factor(release_period)2011,-0.301,0.182,-1.653,0.098,-0.658,0.056
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,factor(release_period)2012,-0.006,0.167,-0.037,0.970,-0.333,0.321
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,factor(release_period)2013,0.017,0.157,0.106,0.916,-0.290,0.324
